Center frequency;5;
Sampling freq.;160;
Samples;512;
Reference amplitude;100;

Time(µs);Amplitude(dB);Amplitude(val);
1.2438;-3.9997E1;1.0004E0;
1.25;NaN;0E0;
1.2562;-3.7016E1;-1.41E0;
1.2625;-2.9873E1;-3.2089E0;
1.2688;-2.5445E1;-5.3424E0;
1.275;-2.2246E1;-7.7214E0;
1.2812;-1.9808E1;-1.0224E1;
1.2875;-1.7925E1;-1.2698E1;
1.2938;-1.6495E1;-1.4971E1;
1.3;-1.5466E1;-1.6854E1;
1.3063;-1.4819E1;-1.8157E1;
1.3125;-1.4564E1;-1.8699E1;
1.3188;-1.4742E1;-1.8318E1;
1.325;-1.5448E1;-1.689E1;
1.3312;-1.6872E1;-1.4334E1;
1.3375;-1.947E1;-1.0629E1;
1.3438;-2.471E1;-5.8143E0;
1.35;NaN;0E0;
1.3563;-2.3563E1;6.6352E0;
1.3625;-1.7173E1;1.3846E1;
1.3688;-1.342E1;2.1331E1;
1.375;-1.0831E1;2.8738E1;
1.3812;-8.9501E0;3.5686E1;
1.3875;-7.5805E0;4.1781E1;
1.3938;-6.6258E0;4.6635E1;
1.4;-6.0399E0;4.9889E1;
1.4062;-5.8083E0;5.1237E1;
1.4125;-5.9443E0;5.0441E1;
1.4188;-6.4927E0;4.7355E1;
1.425;-7.5488E0;4.1933E1;
1.4313;-9.308E0;3.4245E1;
1.4375;-1.2225E1;2.4476E1;
1.4438;-1.7771E1;1.2925E1;
1.45;NaN;0E0;
1.4562;-1.7201E1;-1.3802E1;
1.4625;-1.1085E1;-2.791E1;
1.4688;-7.5957E0;-4.1708E1;
1.475;-5.2628E0;-5.4558E1;
1.4813;-3.6306E0;-6.5837E1;
1.4875;-2.5028E0;-7.4965E1;
1.4938;-1.7838E0;-8.1435E1;
1.5;-1.4277E0;-8.4843E1;
1.5062;-1.4208E0;-8.4911E1;
1.5125;-1.7765E0;-8.1504E1;
1.5188;-2.5402E0;-7.4643E1;
1.525;-3.8075E0;-6.451E1;
1.5312;-5.7741E0;-5.1439E1;
1.5375;-8.8953E0;-3.5912E1;
1.5438;-1.4642E1;-1.8531E1;
1.55;NaN;0E0;
1.5563;-1.4465E1;1.8913E1;
1.5625;-8.5411E0;3.7406E1;
1.5688;-5.2426E0;5.4685E1;
1.575;-3.0982E0;6.9999E1;
1.5812;-1.6525E0;8.2675E1;
1.5875;-7.0964E-1;9.2155E1;
1.5938;-1.7401E-1;9.8017E1;
1.6;0E0;1E2;
1.6063;-1.7401E-1;9.8017E1;
1.6125;-7.0964E-1;9.2155E1;
1.6188;-1.6525E0;8.2675E1;
1.625;-3.0982E0;6.9999E1;
1.6312;-5.2426E0;5.4685E1;
1.6375;-8.5411E0;3.7406E1;
1.6438;-1.4465E1;1.8913E1;
1.65;NaN;0E0;
1.6562;-1.4642E1;-1.8531E1;
1.6625;-8.8953E0;-3.5912E1;
1.6688;-5.7741E0;-5.1439E1;
1.675;-3.8075E0;-6.451E1;
1.6813;-2.5402E0;-7.4643E1;
1.6875;-1.7765E0;-8.1504E1;
1.6938;-1.4208E0;-8.4911E1;
1.7;-1.4277E0;-8.4843E1;
1.7062;-1.7838E0;-8.1435E1;
1.7125;-2.5028E0;-7.4965E1;
1.7188;-3.6306E0;-6.5837E1;
1.725;-5.2628E0;-5.4558E1;
1.7313;-7.5957E0;-4.1708E1;
1.7375;-1.1085E1;-2.791E1;
1.7438;-1.7201E1;-1.3802E1;
1.75;NaN;0E0;
1.7562;-1.7771E1;1.2925E1;
1.7625;-1.2225E1;2.4476E1;
1.7688;-9.308E0;3.4245E1;
1.775;-7.5488E0;4.1933E1;
1.7812;-6.4927E0;4.7355E1;
1.7875;-5.9443E0;5.0441E1;
1.7938;-5.8083E0;5.1237E1;
1.8;-6.0399E0;4.9889E1;
1.8063;-6.6258E0;4.6635E1;
1.8125;-7.5805E0;4.1781E1;
1.8188;-8.9501E0;3.5686E1;
1.825;-1.0831E1;2.8738E1;
1.8312;-1.342E1;2.1331E1;
1.8375;-1.7173E1;1.3846E1;
1.8438;-2.3563E1;6.6352E0;
1.85;NaN;0E0;
1.8563;-2.471E1;-5.8143E0;
1.8625;-1.947E1;-1.0629E1;
