#Center frequency;2;
#Sampling freq.;60;
#Samples;512;
#Reference amplitude;100;
#;
#Time(us);Amplitude(dB);Amplitude(val);
3.8;-8.7673E-1;9.0399E1;
3.8167;-1.9835E0;7.9584E1;
3.8333;-3.6994E0;6.5317E1;
3.85;-6.3357E0;4.8218E1;
3.8667;-1.0744E1;2.9028E1;
3.8833;-2.1331E1;8.5797E0;
3.9;-1.8244E1;-1.2241E1;
3.9167;-9.754E0;-3.2531E1;
3.9333;-5.779E0;-5.141E1;
3.95;-3.3421E0;-6.806E1;
3.9667;-1.7493E0;-8.1758E1;
3.9833;-7.3261E-1;-9.1911E1;
4;-1.6852E-1;-9.8079E1;
4.0167;-6.5409E-4;-9.9992E1;
4.0333;-2.1365E-1;-9.757E1;
4.05;-8.2712E-1;-9.0917E1;
4.0667;-1.9034E0;-8.0321E1;
4.0833;-3.5774E0;-6.6242E1;
4.1;-6.1449E0;-4.929E1;
4.1167;-1.04E1;-3.0201E1;
4.1333;-2.0174E1;-9.8017E0;
4.15;-1.9155E1;1.1022E1;
4.1667;-1.007E1;3.1368E1;
4.1833;-5.9593E0;5.0354E1;
4.2;-3.4583E0;6.7156E1;
4.2167;-1.8254E0;8.1046E1;
4.2333;-7.7908E-1;9.1421E1;
4.25;-1.9041E-1;9.7832E1;
4.2667;0E0;1E2;
4.2833;-1.9041E-1;9.7832E1;
4.3;-7.7908E-1;9.1421E1;
4.3167;-1.8254E0;8.1046E1;
4.3333;-3.4583E0;6.7156E1;
4.35;-5.9593E0;5.0354E1;
4.3667;-1.007E1;3.1368E1;
4.3833;-1.9155E1;1.1022E1;
4.4;-2.0174E1;-9.8017E0;
4.4167;-1.04E1;-3.0201E1;
4.4333;-6.1449E0;-4.929E1;
4.45;-3.5774E0;-6.6242E1;
4.4667;-1.9034E0;-8.0321E1;
4.4833;-8.2712E-1;-9.0917E1;
4.5;-2.1365E-1;-9.757E1;
4.5167;-6.5409E-4;-9.9992E1;
4.5333;-1.6852E-1;-9.8079E1;
4.55;-7.3261E-1;-9.1911E1;
4.5667;-1.7493E0;-8.1758E1;
4.5833;-3.3421E0;-6.806E1;
4.6;-5.779E0;-5.141E1;
4.6167;-9.754E0;-3.2531E1;
4.6333;-1.8244E1;-1.2241E1;
4.65;-2.1331E1;8.5797E0;
4.6667;-1.0744E1;2.9028E1;
4.6833;-6.3357E0;4.8218E1;
4.7;-3.6994E0;6.5317E1;
4.7167;-1.9835E0;7.9584E1;
4.7333;-8.7673E-1;9.0399E1;
4.75;-2.3828E-1;9.7294E1;
4.7667;-2.6167E-3;9.997E1;
4.7833;-1.48E-1;9.8311E1;
4.8;-6.8769E-1;9.2388E1;
4.8167;-1.6752E0;8.2459E1;
4.8333;-3.2288E0;6.8954E1;
4.85;-5.6036E0;5.2459E1;
4.8667;-9.4502E0;3.3689E1;
4.8833;-1.742E1;1.3458E1;
4.9;-2.2667E1;-7.3565E0;
4.9167;-1.1103E1;-2.7852E1;
4.9333;-6.5323E0;-4.714E1;
4.95;-3.8246E0;-6.4383E1;
4.9667;-2.0657E0;-7.8835E1;
4.9833;-9.2795E-1;-8.9867E1;
5;-2.6429E-1;-9.7003E1;
5.0167;-5.8879E-3;-9.9932E1;
5.0333;-1.2883E-1;-9.8528E1;
5.05;-6.443E-1;-9.2851E1;
5.0667;-1.6031E0;-8.3147E1;
5.0833;-3.1182E0;-6.9838E1;
5.1;-5.433E0;-5.35E1;
5.1167;-9.158E0;-3.4842E1;
5.1333;-1.667E1;-1.4673E1;
5.15;-2.4248E1;6.1321E0;
5.1667;-1.1479E1;2.6671E1;
5.1833;-6.7347E0;4.6054E1;
5.2;-3.9528E0;6.3439E1;
5.2167;-2.1499E0;7.8074E1;
5.2333;-9.8079E-1;8.9322E1;
5.25;-2.9168E-1;9.6698E1;
5.2667;-1.0469E-2;9.988E1;
5.2833;-1.11E-1;9.873E1;
5.3;-6.0243E-1;9.3299E1;
5.3167;-1.5328E0;8.3822E1;
5.3333;-3.0103E0;7.0711E1;
5.35;-5.2669E0;5.4532E1;
5.3667;-8.8765E0;3.599E1;
5.3833;-1.598E1;1.5886E1;
5.4;-2.6184E1;-4.9068E0;
5.4167;-1.1874E1;-2.5487E1;
5.4333;-6.9433E0;-4.4961E1;
5.45;-4.0844E0;-6.2486E1;
5.4667;-2.2363E0;-7.7301E1;
5.4833;-1.0353E0;-8.8764E1;
5.5;-3.2048E-1;-9.6378E1;
5.5167;-1.6361E-2;-9.9812E1;
5.5333;-9.4524E-2;-9.8918E1;
5.55;-5.6207E-1;-9.3734E1;
5.5667;-1.4644E0;-8.4485E1;
5.5833;-2.905E0;-7.1573E1;
5.6;-5.1052E0;-5.5557E1;
5.6167;-8.6051E0;-3.7132E1;
5.6333;-1.5342E1;-1.7096E1;
5.65;-2.8681E1;3.6807E0;
5.6667;-1.2289E1;2.4298E1;
5.6833;-7.1583E0;4.3862E1;
5.7;-4.2192E0;6.1523E1;
5.7167;-2.3249E0;7.6517E1;
5.7333;-1.0914E0;8.8192E1;
5.75;-3.5068E-1;9.6043E1;
5.7667;-2.3567E-2;9.9729E1;
5.7833;-7.938E-2;9.909E1;
5.8;-5.2319E-1;9.4154E1;
5.8167;-1.3978E0;8.5136E1;
5.8333;-2.8023E0;7.2425E1;
5.85;-4.9478E0;5.6573E1;
5.8667;-8.3432E0;3.8268E1;
5.8833;-1.4749E1;1.8304E1;
5.9;-3.2202E1;-2.4541E0;
5.9167;-1.2726E1;-2.3106E1;
5.9333;-7.3802E0;-4.2756E1;
5.95;-4.3576E0;-6.0551E1;
5.9667;-2.4157E0;-7.5721E1;
5.9833;-1.1492E0;-8.7607E1;
6;-3.823E-1;-9.5694E1;
6.0167;-3.2087E-2;-9.9631E1;
6.0333;-6.5569E-2;-9.9248E1;
6.05;-4.8578E-1;-9.4561E1;
6.0667;-1.333E0;-8.5773E1;
6.0833;-2.702E0;-7.3265E1;
6.1;-4.7944E0;-5.7581E1;
6.1167;-8.0903E0;-3.9399E1;
6.1333;-1.4195E1;-1.9509E1;
6.15;-3.8222E1;1.2272E0;
6.1667;-1.3187E1;2.191E1;
6.1833;-7.6092E0;4.1643E1;
6.2;-4.4995E0;5.957E1;
6.2167;-2.5088E0;7.4914E1;
6.2333;-1.2087E0;8.7009E1;
6.25;-4.1535E-1;9.5331E1;
6.2667;-4.1926E-2;9.9518E1;
6.2833;-5.3086E-2;9.9391E1;
6.3;-4.4984E-1;9.4953E1;
6.3167;-1.27E0;8.6397E1;
6.3333;-2.6042E0;7.4095E1;
6.35;-4.645E0;5.858E1;
6.3667;-7.8457E0;4.0524E1;
6.3833;-1.3676E1;2.0711E1;
6.4;NaN;0E0;
6.4167;-1.3676E1;-2.0711E1;
6.4333;-7.8457E0;-4.0524E1;
6.45;-4.645E0;-5.858E1;
6.4667;-2.6042E0;-7.4095E1;
6.4833;-1.27E0;-8.6397E1;
6.5;-4.4984E-1;-9.4953E1;
6.5167;-5.3086E-2;-9.9391E1;
6.5333;-4.1926E-2;-9.9518E1;
6.55;-4.1535E-1;-9.5331E1;
6.5667;-1.2087E0;-8.7009E1;
6.5833;-2.5088E0;-7.4914E1;
6.6;-4.4995E0;-5.957E1;
6.6167;-7.6092E0;-4.1643E1;
6.6333;-1.3187E1;-2.191E1;
6.65;-3.8222E1;-1.2272E0;
6.6667;-1.4195E1;1.9509E1;
6.6833;-8.0903E0;3.9399E1;
6.7;-4.7944E0;5.7581E1;
6.7167;-2.702E0;7.3265E1;
6.7333;-1.333E0;8.5773E1;
6.75;-4.8578E-1;9.4561E1;
6.7667;-6.5569E-2;9.9248E1;
6.7833;-3.2087E-2;9.9631E1;
6.8;-3.823E-1;9.5694E1;
6.8167;-1.1492E0;8.7607E1;
6.8333;-2.4157E0;7.5721E1;
6.85;-4.3576E0;6.0551E1;
6.8667;-7.3802E0;4.2756E1;
6.8833;-1.2726E1;2.3106E1;
6.9;-3.2202E1;2.4541E0;
6.9167;-1.4749E1;-1.8304E1;
6.9333;-8.3432E0;-3.8268E1;
6.95;-4.9478E0;-5.6573E1;
6.9667;-2.8023E0;-7.2425E1;
6.9833;-1.3978E0;-8.5136E1;
7;-5.2319E-1;-9.4154E1;
7.0167;-7.938E-2;-9.909E1;
7.0333;-2.3567E-2;-9.9729E1;
7.05;-3.5068E-1;-9.6043E1;
7.0667;-1.0914E0;-8.8192E1;
7.0833;-2.3249E0;-7.6517E1;
7.1;-4.2192E0;-6.1523E1;
7.1167;-7.1583E0;-4.3862E1;
7.1333;-1.2289E1;-2.4298E1;
7.15;-2.8681E1;-3.6807E0;
7.1667;-1.5342E1;1.7096E1;
7.1833;-8.6051E0;3.7132E1;
7.2;-5.1052E0;5.5557E1;
7.2167;-2.905E0;7.1573E1;
7.2333;-1.4644E0;8.4485E1;
7.25;-5.6207E-1;9.3734E1;
7.2667;-9.4524E-2;9.8918E1;
7.2833;-1.6361E-2;9.9812E1;
7.3;-3.2048E-1;9.6378E1;
7.3167;-1.0353E0;8.8764E1;
7.3333;-2.2363E0;7.7301E1;
7.35;-4.0844E0;6.2486E1;
7.3667;-6.9433E0;4.4961E1;
7.3833;-1.1874E1;2.5487E1;
7.4;-2.6184E1;4.9068E0;
7.4167;-1.598E1;-1.5886E1;
7.4333;-8.8765E0;-3.599E1;
7.45;-5.2669E0;-5.4532E1;
7.4667;-3.0103E0;-7.0711E1;
7.4833;-1.5328E0;-8.3822E1;
7.5;-6.0243E-1;-9.3299E1;
7.5167;-1.11E-1;-9.873E1;
7.5333;-1.0469E-2;-9.988E1;
7.55;-2.9168E-1;-9.6698E1;
7.5667;-9.8079E-1;-8.9322E1;
7.5833;-2.1499E0;-7.8074E1;
7.6;-3.9528E0;-6.3439E1;
7.6167;-6.7347E0;-4.6054E1;
7.6333;-1.1479E1;-2.6671E1;
7.65;-2.4248E1;-6.1321E0;
7.6667;-1.667E1;1.4673E1;
7.6833;-9.158E0;3.4842E1;
7.7;-5.433E0;5.35E1;
7.7167;-3.1182E0;6.9838E1;
7.7333;-1.6031E0;8.3147E1;
7.75;-6.443E-1;9.2851E1;
7.7667;-1.2883E-1;9.8528E1;
7.7833;-5.8879E-3;9.9932E1;
7.8;-2.6429E-1;9.7003E1;
7.8167;-9.2795E-1;8.9867E1;
7.8333;-2.0657E0;7.8835E1;
7.85;-3.8246E0;6.4383E1;
7.8667;-6.5323E0;4.714E1;
7.8833;-1.1103E1;2.7852E1;
