#Center frequency;2;
#Sampling freq.;70;
#Samples;512;
#Reference amplitude;100;
#;
#Time(us);Amplitude(dB);Amplitude(val);
4.6857;-4.5354E1;-5.3987E-1;
4.7;-4.9664E1;-3.287E-1;
4.7143;-5.636E1;-1.5205E-1;
4.7286;-7.2832E1;-2.2824E-2;
4.7429;-6.5763E1;5.1508E-2;
4.7571;-6.3216E1;6.9058E-2;
4.7714;-6.9574E1;3.3212E-2;
4.7857;-6.6356E1;-4.8104E-2;
4.8;-5.573E1;-1.6349E-1;
4.8143;-5.0477E1;-2.9934E-1;
4.8286;-4.7107E1;-4.4121E-1;
4.8429;-4.4805E1;-5.7512E-1;
4.8571;-4.3239E1;-6.8877E-1;
4.8714;-4.2242E1;-7.7247E-1;
4.8857;-4.1726E1;-8.1979E-1;
4.9;-4.164E1;-8.2793E-1;
4.9143;-4.1964E1;-7.9766E-1;
4.9286;-4.2698E1;-7.3301E-1;
4.9429;-4.3866E1;-6.4076E-1;
4.9571;-4.5522E1;-5.2956E-1;
4.9714;-4.7762E1;-4.0916E-1;
4.9857;-5.077E1;-2.894E-1;
5;-5.4923E1;-1.7941E-1;
5.0143;-6.1226E1;-8.684E-2;
5.0286;-7.5244E1;-1.7291E-2;
5.0429;-7.169E1;2.6033E-2;
5.0571;-6.7443E1;4.2445E-2;
5.0714;-6.9454E1;3.3674E-2;
5.0857;-8.8982E1;3.5557E-3;
5.1;-6.7444E1;-4.244E-2;
5.1143;-6.0194E1;-9.7794E-2;
5.1286;-5.6161E1;-1.5558E-1;
5.1429;-5.3593E1;-2.0909E-1;
5.1571;-5.1957E1;-2.5244E-1;
5.1714;-5.1025E1;-2.8102E-1;
5.1857;-5.0698E1;-2.9182E-1;
5.2;-5.0945E1;-2.8364E-1;
5.2143;-5.18E1;-2.5705E-1;
5.2286;-5.3381E1;-2.1427E-1;
5.2429;-5.5979E1;-1.5888E-1;
5.2571;-6.0409E1;-9.5397E-2;
5.2714;-7.079E1;-2.8874E-2;
5.2857;-6.8968E1;3.5614E-2;
5.3;-6.0593E1;9.3405E-2;
5.3143;-5.7038E1;1.4064E-1;
5.3286;-5.5162E1;1.7455E-1;
5.3429;-5.4259E1;1.9367E-1;
5.3571;-5.4072E1;1.9787E-1;
5.3714;-5.4502E1;1.8832E-1;
5.3857;-5.5531E1;1.6728E-1;
5.4;-5.7209E1;1.379E-1;
5.4143;-5.9672E1;1.0385E-1;
5.4286;-6.3225E1;6.8983E-2;
5.4429;-6.8637E1;3.6995E-2;
5.4571;-7.9105E1;1.1086E-2;
5.4714;-8.4034E1;-6.2851E-3;
5.4857;-7.7339E1;-1.3584E-2;
5.5;-7.9748E1;-1.0294E-2;
5.5143;-9.0192E1;3.0932E-3;
5.5286;-7.1983E1;2.5167E-2;
5.5429;-6.5389E1;5.377E-2;
5.5571;-6.1287E1;8.6225E-2;
5.5714;-5.8445E1;1.196E-1;
5.5857;-5.6422E1;1.5098E-1;
5.6;-5.5005E1;1.7772E-1;
5.6143;-5.408E1;1.977E-1;
5.6286;-5.358E1;2.0942E-1;
5.6429;-5.3465E1;2.1219E-1;
5.6571;-5.3718E1;2.0611E-1;
5.6714;-5.4334E1;1.9201E-1;
5.6857;-5.5321E1;1.7139E-1;
5.7;-5.67E1;1.4622E-1;
5.7143;-5.8505E1;1.1878E-1;
5.7286;-6.0781E1;9.1399E-2;
5.7429;-6.357E1;6.63E-2;
5.7571;-6.6865E1;4.5367E-2;
5.7714;-7.0453E1;3.0015E-2;
5.7857;-7.3523E1;2.108E-2;
5.8;-7.4529E1;1.8774E-2;
5.8143;-7.2882E1;2.2692E-2;
5.8286;-6.993E1;3.1878E-2;
5.8429;-6.6949E1;4.4931E-2;
5.8571;-6.4414E1;6.0155E-2;
5.8714;-6.2416E1;7.572E-2;
5.8857;-6.0932E1;8.983E-2;
5.9;-5.9923E1;1.0088E-1;
5.9143;-5.9363E1;1.0761E-1;
5.9286;-5.9237E1;1.0918E-1;
5.9429;-5.9557E1;1.0523E-1;
5.9571;-6.0363E1;9.5909E-2;
5.9714;-6.1741E1;8.1837E-2;
5.9857;-6.3873E1;6.4024E-2;
6;-6.7176E1;4.3774E-2;
6.0143;-7.2936E1;2.2554E-2;
6.0286;-9.4605E1;1.8611E-3;
6.0429;-7.5437E1;-1.691E-2;
6.0571;-6.974E1;-3.2585E-2;
6.0714;-6.7071E1;-4.4306E-2;
6.0857;-6.5749E1;-5.159E-2;
6.1;-6.5294E1;-5.4361E-2;
6.1143;-6.5526E1;-5.2932E-2;
6.1286;-6.6381E1;-4.797E-2;
6.1429;-6.7869E1;-4.0414E-2;
6.1571;-7.0065E1;-3.1387E-2;
6.1714;-7.3118E1;-2.2085E-2;
6.1857;-7.7284E1;-1.3671E-2;
6.2;-8.2889E1;-7.1709E-3;
6.2143;-8.9399E1;-3.3888E-3;
6.2286;-9.0918E1;-2.8452E-3;
6.2429;-8.4821E1;-5.7406E-3;
6.2571;-7.8452E1;-1.195E-2;
6.2714;-7.3536E1;-2.1048E-2;
6.2857;-6.9802E1;-3.2353E-2;
6.3;-6.6936E1;-4.5001E-2;
6.3143;-6.4727E1;-5.8026E-2;
6.3286;-6.3043E1;-7.0449E-2;
6.3429;-6.1792E1;-8.1361E-2;
6.3571;-6.0915E1;-9.0006E-2;
6.3714;-6.037E1;-9.5833E-2;
6.3857;-6.0128E1;-9.8543E-2;
6.4;-6.0167E1;-9.81E-2;
6.4143;-6.047E1;-9.4731E-2;
6.4286;-6.1023E1;-8.8886E-2;
6.4429;-6.1809E1;-8.1202E-2;
6.4571;-6.2802E1;-7.243E-2;
6.4714;-6.3962E1;-6.3375E-2;
6.4857;-6.5222E1;-5.4818E-2;
6.5;-6.6475E1;-4.7451E-2;
6.5143;-6.7572E1;-4.1822E-2;
6.5286;-6.8337E1;-3.8294E-2;
6.5429;-6.8631E1;-3.702E-2;
6.5571;-6.8419E1;-3.7937E-2;
6.5714;-6.779E1;-4.0783E-2;
6.5857;-6.6912E1;-4.5124E-2;
6.6;-6.5951E1;-5.0402E-2;
6.6143;-6.5038E1;-5.5986E-2;
6.6286;-6.4261E1;-6.1228E-2;
6.6429;-6.3672E1;-6.5523E-2;
6.6571;-6.3305E1;-6.8355E-2;
6.6714;-6.318E1;-6.9343E-2;
6.6857;-6.3316E1;-6.8263E-2;
6.7;-6.3733E1;-6.5069E-2;
6.7143;-6.4454E1;-5.9883E-2;
6.7286;-6.5517E1;-5.2985E-2;
6.7429;-6.6978E1;-4.478E-2;
6.7571;-6.8931E1;-3.5764E-2;
6.7714;-7.1543E1;-2.6475E-2;
6.7857;-7.5164E1;-1.7451E-2;
6.8;-8.0739E1;-9.1845E-3;
6.8143;-9.3623E1;-2.0838E-3;
6.8286;-8.8977E1;3.5574E-3;
6.8429;-8.2409E1;7.5783E-3;
6.8571;-8.0035E1;9.9593E-3;
6.8714;-7.9317E1;1.0818E-2;
6.8857;-7.9666E1;1.0392E-2;
6.9;-8.0898E1;9.0175E-3;
6.9143;-8.2981E1;7.0954E-3;
6.9286;-8.5924E1;5.056E-3;
6.9429;-8.9568E1;3.3235E-3;
6.9571;-9.284E1;2.2804E-3;
6.9714;-9.3003E1;2.2381E-3;
6.9857;-8.9336E1;3.4136E-3;
7;-8.4561E1;5.9149E-3;
7.0143;-8.0233E1;9.7355E-3;
7.0286;-7.662E1;1.4758E-2;
7.0429;-7.3653E1;2.0766E-2;
7.0571;-7.1225E1;2.7463E-2;
7.0714;-6.9243E1;3.4502E-2;
7.0857;-6.7638E1;4.1505E-2;
7.1;-6.6357E1;4.8101E-2;
7.1143;-6.536E1;5.395E-2;
7.1286;-6.4617E1;5.8768E-2;
7.1429;-6.4103E1;6.2348E-2;
7.1571;-6.3799E1;6.4574E-2;
7.1714;-6.3685E1;6.5426E-2;
7.1857;-6.3745E1;6.4979E-2;
7.2;-6.3958E1;6.3398E-2;
7.2143;-6.4305E1;6.092E-2;
7.2286;-6.4756E1;5.7838E-2;
7.2429;-6.5276E1;5.4475E-2;
7.2571;-6.5821E1;5.1161E-2;
7.2714;-6.6337E1;4.8209E-2;
7.2857;-6.6766E1;4.5889E-2;
7.3;-6.7051E1;4.4408E-2;
